Дата и время;Состояние батареи.Напряжение.Значение;Состояние батареи.Напряжение.Качество;Статус прибора.Статус.Значение;Статус прибора.Статус.Качество;Фаза А.Напряжение.Значение;Фаза А.Напряжение.Качество;Фаза А.Ток.Значение;Фаза А.Ток.Качество;Фаза А.Активная мощность.Значение;Фаза А.Активная мощность.Качество;Фаза А.Реактивная мощность.Значение;Фаза А.Реактивная мощность.Качество;Фаза А.Полная мощность.Значение;Фаза А.Полная мощность.Качество;Фаза А.Коэффициент мощности.Значение;Фаза А.Коэффициент мощности.Качество;Фаза B.Напряжение.Значение;Фаза B.Напряжение.Качество;Фаза B.Ток.Значение;Фаза B.Ток.Качество;Фаза B.Активная мощность.Значение;Фаза B.Активная мощность.Качество;Фаза B.Реактивная мощность.Значение;Фаза B.Реактивная мощность.Качество;Фаза B.Полная мощность.Значение;Фаза B.Полная мощность.Качество;Фаза B.Коэффициент мощности.Значение;Фаза B.Коэффициент мощности.Качество;Фаза C.Напряжение.Значение;Фаза C.Напряжение.Качество;Фаза C.Ток.Значение;Фаза C.Ток.Качество;Фаза C.Активная мощность.Значение;Фаза C.Активная мощность.Качество;Фаза C.Реактивная мощность.Значение;Фаза C.Реактивная мощность.Качество;Фаза C.Полная мощность.Значение;Фаза C.Полная мощность.Качество;Фаза C.Коэффициент мощности.Значение;Фаза C.Коэффициент мощности.Качество;Межфазные значения.Межфазный угол A-B.Значение;Межфазные значения.Межфазный угол A-B.Качество;Межфазные значения.Межфазный угол B-C.Значение;Межфазные значения.Межфазный угол B-C.Качество;Межфазные значения.Межфазный угол C-A.Значение;Межфазные значения.Межфазный угол C-A.Качество;Межфазные значения.Межфазное напряжение A-B.Значение;Межфазные значения.Межфазное напряжение A-B.Качество;Межфазные значения.Межфазное напряжение B-C.Значение;Межфазные значения.Межфазное напряжение B-C.Качество;Межфазные значения.Межфазное напряжение C-A.Значение;Межфазные значения.Межфазное напряжение C-A.Качество;Результаты измерений.Частота сети.Значение;Результаты измерений.Частота сети.Качество;Измерение параметров электросети.Статус ошибок измерений.Значение;Измерение параметров электросети.Статус ошибок измерений.Качество;Дискретные выходы.Изменить состояние дискретных выходов.Значение;Дискретные выходы.Изменить состояние дискретных выходов.Качество;
04.11.2025 3:04:59;3094;GOOD;0;GOOD;247,484;GOOD;1,327;GOOD;-0,2922;GOOD;0,0582;GOOD;0,3289;GOOD;0,889;GOOD;232,283;GOOD;0,161;GOOD;-0,0077;GOOD;0,0301;GOOD;0,0373;GOOD;0,21;GOOD;247,299;GOOD;0,789;GOOD;-0,1462;GOOD;0,0324;GOOD;0,1958;GOOD;0,748;GOOD;124,075;GOOD;119,695;GOOD;116,167;GOOD;423,809;GOOD;414,778;GOOD;419,974;GOOD;50,008;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:05:29;3094;GOOD;0;GOOD;246,196;GOOD;1,317;GOOD;-0,2879;GOOD;0,0828;GOOD;0,3247;GOOD;0,888;GOOD;231,685;GOOD;0,371;GOOD;-0,0338;GOOD;0,0169;GOOD;0,0863;GOOD;0,392;GOOD;248,977;GOOD;0,52;GOOD;-0,1205;GOOD;0,0146;GOOD;0,1296;GOOD;0,931;GOOD;124,438;GOOD;118,355;GOOD;117,148;GOOD;422,939;GOOD;412,873;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 3:05:30;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;422,649;GOOD;50,01;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:05:59;3094;GOOD;0;GOOD;245,325;GOOD;1,336;GOOD;-0,2926;GOOD;0,0658;GOOD;0,3278;GOOD;0,893;GOOD;232,89;GOOD;0,165;GOOD;-0,0109;GOOD;0,0288;GOOD;0,0383;GOOD;0,283;GOOD;248,964;GOOD;0,767;GOOD;-0,1447;GOOD;0,0238;GOOD;0,19;GOOD;0,763;GOOD;123,966;GOOD;118,511;GOOD;117,456;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 3:06:00;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;422,24;GOOD;414,231;GOOD;422,434;GOOD;50,015;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:06:29;3094;GOOD;0;GOOD;244,785;GOOD;1,299;GOOD;-0,2882;GOOD;0,0754;GOOD;0,3187;GOOD;0,905;GOOD;233,584;GOOD;0,234;GOOD;-0,0213;GOOD;0,0259;GOOD;0,0547;GOOD;0,39;GOOD;249,145;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 3:06:30;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;0,638;GOOD;-0,1333;GOOD;0,0267;GOOD;0,1592;GOOD;0,838;GOOD;124,493;GOOD;118,265;GOOD;117,164;GOOD;423,343;GOOD;414,376;GOOD;421,549;GOOD;50,005;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:06:59;3094;GOOD;0;GOOD;242,437;GOOD;1,32;GOOD;-0,2861;GOOD;0,0551;GOOD;0,3198;GOOD;0,895;GOOD;233,928;GOOD;0,165;GOOD;-0,01;GOOD;0,0292;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 3:07:00;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;0,0386;GOOD;0,263;GOOD;248,17;GOOD;0,74;GOOD;-0,1425;GOOD;0,028;GOOD;0,1835;GOOD;0,777;GOOD;124,387;GOOD;118,035;GOOD;117,519;GOOD;421,395;GOOD;413,441;GOOD;419,407;GOOD;50,007;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:07:30;3094;GOOD;0;GOOD;240,139;GOOD;1,183;GOOD;-0,2598;GOOD;0,0686;GOOD;0,284;GOOD;0,915;GOOD;234,934;GOOD;0,427;GOOD;-0,0309;GOOD;0,0418;GOOD;0,1002;GOOD;0,308;GOOD;249,565;GOOD;0,717;GOOD;-0,1496;GOOD;-0,0017;GOOD;0,1782;GOOD;0,84;GOOD;123,938;GOOD;117,613;GOOD;118,367;GOOD;419,403;GOOD;414,498;GOOD;420,635;GOOD;50,013;GOOD;0;GOOD;0;GOOD;
